outcome	comparison	term	estimate	std.error	statistic	p.value
covid_result_binary	null	(Intercept)	-0.04211875561871641	0.03716653213321848	-1.133244163532593	0.2571117326847166
covid_result_binary	rf_only	(Intercept)	-2.2543762173303135	0.15363557644201029	-14.673529852515815	9.525783501468828e-49
covid_result_binary	rf_only	sex	0.3892464890721323	0.08161076997882036	4.769548053193832	1.8463969601458898e-6
covid_result_binary	rf_only	age	0.028364752568178445	0.002111101104647744	13.435999112373805	3.720131840610532e-41
covid_result_binary	rf_only	hypertension	0.20756127942492367	0.14384419933734044	1.442958981878409	0.14903202633961862
covid_result_binary	rf_only	cv_diseases	-0.07127600785067557	0.1507733943800654	-0.47273597668700745	0.6364015559355389
covid_result_binary	rf_only	resp_diseases	0.10515587734558363	0.11005253557651484	0.9555061752527566	0.3393217840037828
covid_result_binary	rf_only	diabetes	-0.01115334427955513	0.10907596607045536	-0.10225299560813295	0.9185558637442401
covid_result_binary	rf_only	overweight	-0.023153712300425094	0.12816608525968606	-0.18065397139587883	0.8566391897276358
covid_result_binary	abo_only	(Intercept)	-0.2719337113393285	0.19158580565486497	-1.4193833953920751	0.15578727067931275
covid_result_binary	abo_only	A	0.2951660128325973	0.20231054280290559	1.4589749438819564	0.1445720041242517
covid_result_binary	abo_only	B	0.31678427750466354	0.21372468636633363	1.482207240026925	0.1382851607344139
covid_result_binary	abo_only	O	0.1756641673860937	0.19895546722005067	0.8829320945063747	0.3772729617621761
covid_result_binary	abo_rf	(Intercept)	-2.7037555853742687	0.25953750870179565	-10.417590886567535	2.0610778170683773e-25
covid_result_binary	abo_rf	A	0.465808562999531	0.2154696969140882	2.161828645376791	0.030631386628172177
covid_result_binary	abo_rf	B	0.5523209531187083	0.22791832470308146	2.423328417485691	0.015379016348362494
covid_result_binary	abo_rf	O	0.39946500381533867	0.21187259324195823	1.885401965884045	0.05937558881923097
covid_result_binary	abo_rf	sex	0.40043330704432994	0.08191625693432654	4.888325248617782	1.016974140557839e-6
covid_result_binary	abo_rf	age	0.028503663128427788	0.00211917328902486	13.450369196350046	3.0633895204007335e-41
covid_result_binary	abo_rf	hypertension	0.20887897382556544	0.1442028729607125	1.4485077137296267	0.14747511025515692
covid_result_binary	abo_rf	cv_diseases	-0.07896487672442097	0.15109197934448554	-0.5226278526961595	0.6012332540592094
covid_result_binary	abo_rf	resp_diseases	0.10283301483231316	0.11022355894735186	0.9329495056626798	0.35084604001160213
covid_result_binary	abo_rf	diabetes	-0.006204932498405584	0.10934326831141811	-0.0567472748366498	0.9547465147894271
covid_result_binary	abo_rf	overweight	-0.022886503982177054	0.12839571381833043	-0.17824975072423063	0.8585268398519494
covid_result_binary	abo_rh_only	(Intercept)	-13.566066491572593	239.44315370431025	-0.056656731594528734	0.9548186418027296
covid_result_binary	abo_rh_only	A_neg	13.06151048082019	239.44325835945014	0.054549501916701965	0.9564973704435857
covid_result_binary	abo_rh_only	A_pos	13.640346565955456	239.44316340760474	0.05696694936633232	0.9545715229536447
covid_result_binary	abo_rh_only	B_neg	13.511999270302319	239.44337961823135	0.05643087435470489	0.9549985619564245
covid_result_binary	abo_rh_only	B_pos	13.619869197565597	239.44317414137439	0.05688142602688695	0.9546396502377205
covid_result_binary	abo_rh_only	O_neg	13.48438846055831	239.4432390782932	0.056315594929574025	0.9550903955929042
covid_result_binary	abo_rh_only	O_pos	13.468692327547414	239.44316016958302	0.05625006084119654	0.9551426014769295
covid_result_binary	abo_rh_only	AB_pos	13.376824491934064	239.4432332110861	0.05586637096627178	0.9554482610536705
covid_result_binary	abo_rh_rf	(Intercept)	-15.965654028024195	229.90961578469873	-0.06944317650017474	0.944636861971263
covid_result_binary	abo_rh_rf	A_neg	13.274312626923145	229.90966809301145	0.05773707881459311	0.9539580583226452
covid_result_binary	abo_rh_rf	A_pos	13.763341720591281	229.9095532300078	0.05986415756644118	0.9522638267924399
covid_result_binary	abo_rh_rf	B_neg	13.593371734841062	229.9098062198903	0.059124801844424556	0.952852704178639
covid_result_binary	abo_rh_rf	B_pos	13.826876055045709	229.90956606895827	0.060140499116502724	0.9520437346901868
covid_result_binary	abo_rh_rf	O_neg	13.662572007905737	229.90964621831247	0.059425831985023964	0.952612938464226
covid_result_binary	abo_rh_rf	O_pos	13.653132341643014	229.9095488055144	0.0593847989897649	0.9526456203396874
covid_result_binary	abo_rh_rf	AB_pos	13.345950013552947	229.9096338181755	0.058048676742739794	0.9537098554328858
covid_result_binary	abo_rh_rf	sex	0.40848718477630197	0.08215962810946285	4.97187236816684	6.630935558901256e-7
covid_result_binary	abo_rh_rf	age	0.02845045579062448	0.0021241456224987357	13.393834909094803	6.569892591455058e-41
covid_result_binary	abo_rh_rf	hypertension	0.20052679165379472	0.1447772338174506	1.3850713013804272	0.1660306662206368
covid_result_binary	abo_rh_rf	cv_diseases	-0.07384288473307248	0.15145340107479088	-0.4875617464450818	0.6258602967616108
covid_result_binary	abo_rh_rf	resp_diseases	0.10192838819744329	0.11040095456587616	0.9232564029745115	0.35587360177275934
covid_result_binary	abo_rh_rf	diabetes	-0.0071320978103719904	0.10964470883995331	-0.06504735053638205	0.948136299778921
covid_result_binary	abo_rh_rf	overweight	-0.02029620118620248	0.1287484744821758	-0.15764226541583082	0.8747386969720801
died_binary	null	(Intercept)	-1.5415872455259234	0.06968618410736868	-22.121849047592125	1.9477935149738296e-108
died_binary	rf_only	(Intercept)	-6.616272047998138	0.5206708877419721	-12.707205652867136	5.392721760481493e-37
died_binary	rf_only	sex	0.620138335375653	0.15776555958682426	3.930758633251434	8.467824856671038e-5
died_binary	rf_only	age	0.060647245130097255	0.005868871628473229	10.33371471883335	4.960166876199504e-25
died_binary	rf_only	hypertension	0.4317090396720061	0.36559920664716206	1.1808259750646732	0.23767186303211862
died_binary	rf_only	cv_diseases	-0.6264136605358354	0.4022097514898421	-1.5574303164344228	0.11936835301675315
died_binary	rf_only	resp_diseases	-0.16221070245549601	0.21882524612531026	-0.7412796527262036	0.4585238962116644
died_binary	rf_only	diabetes	0.4202805611599278	0.18084026280099535	2.3240430789598174	0.02012318529315727
died_binary	rf_only	overweight	0.025789755341657748	0.2329365920133326	0.11071577513326725	0.911841736142842
died_binary	abo_only	(Intercept)	-0.8873031949993156	0.3175534917323334	-2.7941849738727664	0.005203070775634468
died_binary	abo_only	A	-0.8285905234540268	0.3420554110806892	-2.4223868315258614	0.015418927466606754
died_binary	abo_only	B	-0.6007738604305095	0.3605912988380984	-1.6660797483642291	0.09569753157640672
died_binary	abo_only	O	-0.6121722608435851	0.33309112943032176	-1.8378521874496312	0.06608418912796642
died_binary	abo_rf	(Intercept)	-6.126068920127691	0.620917620880683	-9.86615408246707	5.835941955374687e-23
died_binary	abo_rf	A	-0.7375462765164592	0.36929207568244116	-1.9971895555936174	0.04580459522096009
died_binary	abo_rf	B	-0.4256105100863094	0.3895183889861766	-1.0926583240243728	0.2745438445169476
died_binary	abo_rf	O	-0.41993522029224967	0.3599274144704189	-1.1667219650665497	0.24332266946122266
died_binary	abo_rf	sex	0.5977771040234305	0.15840137251835212	3.7738126540170795	1.607715116215261e-4
died_binary	abo_rf	age	0.06121907117336503	0.005906938364052668	10.36392584454927	3.6180048325433333e-25
died_binary	abo_rf	hypertension	0.37522704976319343	0.3666792871287601	1.0233112775509237	0.3061606932543556
died_binary	abo_rf	cv_diseases	-0.5833522898447988	0.40286162065523096	-1.4480215039993392	0.14761103665262298
died_binary	abo_rf	resp_diseases	-0.13831207564671558	0.220128714456039	-0.6283236423221711	0.5297919468361685
died_binary	abo_rf	diabetes	0.425193528258482	0.18182981406405055	2.3384147998342297	0.019365740727472346
died_binary	abo_rf	overweight	0.02162393888028157	0.23341742395996143	0.09264063716164894	0.926189058761774
died_binary	abo_rh_only	(Intercept)	-0.8873031950009018	0.3175536744148726	-2.7941833664367293	0.00520309664014357
died_binary	abo_rh_only	A_neg	-1.3813803463174594	0.6845848452662261	-2.01783658500395	0.0436082832895005
died_binary	abo_rh_only	A_pos	-0.7964467503977488	0.3431888260331335	-2.3207245981862332	0.020301712261919423
died_binary	abo_rh_only	B_neg	-1.1921383466789335	0.8144570801946347	-1.4637215092955451	0.14327005602672768
died_binary	abo_rh_only	B_pos	-0.5596157879354228	0.3629362052421367	-1.5419122695738476	0.12309491396746576
died_binary	abo_rh_only	O_neg	-2.226212048143398	0.7892281102995364	-2.8207460163810967	0.004791211994167222
died_binary	abo_rh_only	O_pos	-0.5421633379841972	0.3335502509570815	-1.6254322592428758	0.1040704868715048
died_binary	abo_rh_rf	(Intercept)	-6.084871318736182	0.6225512396477918	-9.774089153173474	1.4545979331376966e-22
died_binary	abo_rh_rf	A_neg	-0.7161786617284535	0.7203839160466967	-0.9941624816648867	0.32014377044241804
died_binary	abo_rh_rf	A_pos	-0.7382192374137027	0.3703048629866112	-1.9935445391123416	0.04620185151014123
died_binary	abo_rh_rf	B_neg	-1.0404786613908172	0.8712895774998315	-1.194182380072162	0.23240663394561534
died_binary	abo_rh_rf	B_pos	-0.383634701133887	0.392016677431858	-0.9786183170754821	0.32776860531176183
died_binary	abo_rh_rf	O_neg	-1.9572549017505072	0.8177247095077994	-2.393537677158622	0.016686767385785308
died_binary	abo_rh_rf	O_pos	-0.35296638772179817	0.3604071291827054	-0.9793546218750429	0.3274047902903451
died_binary	abo_rh_rf	sex	0.5701776846879177	0.15912848390852583	3.5831277385617613	3.395044768434457e-4
died_binary	abo_rh_rf	age	0.061299899660791246	0.005961754913755473	10.282190487125671	8.47785342373223e-25
died_binary	abo_rh_rf	hypertension	0.41357499644371243	0.36758191490350633	1.1251233525791924	0.2605367668389991
died_binary	abo_rh_rf	cv_diseases	-0.6052135942978365	0.40332061527552426	-1.5005768893920564	0.1334650325287554
died_binary	abo_rh_rf	resp_diseases	-0.14340710393776265	0.22059607245470375	-0.6500891078521321	0.5156346645321415
died_binary	abo_rh_rf	diabetes	0.39832143034291023	0.18278421210640663	2.1791894702099874	0.02931759584276353
died_binary	abo_rh_rf	overweight	0.0413848143520542	0.23381533373834412	0.17699786275936347	0.8595100683457222
intubation_binary	null	(Intercept)	-1.0012878331000774	0.05990814926262239	-16.713716671678192	1.0413770328163465e-62
intubation_binary	rf_only	(Intercept)	-1.4959371230738785	0.280892041106011	-5.325665751096519	1.0058394589570654e-7
intubation_binary	rf_only	sex	0.5163954627077623	0.12554781458017264	4.11313780677561	3.9031722376186266e-5
intubation_binary	rf_only	age	0.002846085745374321	0.003557469583550962	0.8000309429303514	0.4236928695776091
intubation_binary	rf_only	hypertension	-0.10028841866307406	0.2365182202544729	-0.4240198431865947	0.671551341847808
intubation_binary	rf_only	cv_diseases	-0.34796262526233557	0.24797838355409835	-1.4031974088839276	0.16055798006009045
intubation_binary	rf_only	resp_diseases	-0.3313859322269525	0.162987874371572	-2.033193779013736	0.042032949326801725
