blood_group	term	estimate	std.error	statistic	p.value
A	(Intercept)	-0.7341896648076724	0.14585814713387674	-5.033586942070451	4.813863393060828e-7
A	sex	-0.21414943903491215	0.0820711110729667	-2.6093157048223583	0.009072349964539232
A	age	0.005374568788479843	0.002023706561398634	2.6558043992135625	0.007911949126552853
A	hypertension	-0.25355036539318443	0.14229897553548163	-1.781814411797805	0.0747795012837358
A	cv_diseases	0.21415334103041753	0.1479327887666414	1.4476394504279686	0.14771791197531703
A	resp_diseases	0.12416233635008035	0.1100631925741974	1.128100443446416	0.2592775019024094
A	diabetes	-0.05253142350372879	0.1095570180775566	-0.47948935107508334	0.6315905421277612
A	overweight	-0.24492059387966653	0.1321211591165865	-1.8537575322325428	0.06377385668038615
A_neg	(Intercept)	-3.2184507459234286	0.39514827749681847	-8.14491908281023	3.795356298853059e-16
A_neg	sex	0.07048432549025517	0.2264278895715084	0.31128817931236097	0.7555815527468226
A_neg	age	-0.00996638952562738	0.005532064181557831	-1.8015679497812407	0.0716134076051369
A_neg	hypertension	-0.38659491917018535	0.37937667528660185	-1.0190265884905298	0.3081903438745204
A_neg	cv_diseases	0.24282912482883873	0.38902736010287503	0.6241954929972653	0.5324992064046956
A_neg	resp_diseases	0.11894400222991604	0.30445295836590286	0.39068105256170554	0.6960330058700255
A_neg	diabetes	0.5041028282604347	0.3134573090964249	1.608202500409279	0.10779083574076655
A_neg	overweight	-0.5321141423667632	0.4176333006973838	-1.2741180875141276	0.20262156911685705
A_pos	(Intercept)	-0.9170692885503005	0.15019624564724407	-6.1058070033532	1.0228254342720766e-9
A_pos	sex	-0.2371316241359114	0.08436166942172074	-2.810892977360364	0.0049404216155275555
A_pos	age	0.007085425185548653	0.002085804284331946	3.3969750847539446	6.813517035635451e-4
A_pos	hypertension	-0.21354570899417782	0.14568350573072317	-1.4658194002338811	0.14269749437466475
A_pos	cv_diseases	0.18761895351954905	0.15174340707373754	1.2364224392851433	0.21630157944583941
